0	0.413022	0.191106	0.639996	0.230559	Руководство
0	0.660153	0.191106	0.844995	0.230559	оператора
0	0.285225	0.223888	0.492844	0.263341	карьерного
0	0.513001	0.223888	0.701673	0.263341	самосвала
0	0.721830	0.223888	0.865350	0.263341	NTE240
0	0.279984	0.807789	0.336408	0.830869	Inner
0	0.341866	0.807789	0.437105	0.830869	Mongolia
0	0.442843	0.807789	0.503105	0.830869	North
0	0.508944	0.807789	0.579677	0.830869	Hauler
0	0.584929	0.807789	0.636116	0.830869	Joint
0	0.641972	0.807789	0.698012	0.830869	Stock
0	0.703851	0.807789	0.744602	0.830869	Co.,
0	0.750399	0.807789	0.800784	0.830869	Ltd.(
0	0.806437	0.807789	0.865477	0.830869	NHL)
0	0.204999	0.836153	0.321181	0.859233	Китайская
0	0.326956	0.836153	0.446751	0.859233	Баотоуская
0	0.452527	0.836153	0.622720	0.859233	редкоземельная
0	0.628496	0.836153	0.865425	0.859233	высокотехнологичная
0	0.541424	0.855247	0.709007	0.878327	промышленная
0	0.714783	0.855247	0.761052	0.878327	зона
0	0.766997	0.855247	0.865434	0.878327	развития
2	0.546866	0.042246	0.588208	0.062657	NHL
2	0.593429	0.042246	0.667527	0.062657	NTE240
2	0.673252	0.042246	0.679964	0.062657	-
2	0.685547	0.042246	0.803326	0.062657	Инструкция
2	0.808708	0.042246	0.903908	0.062657	водителя
2	0.465834	0.081607	0.578121	0.107843	Введение
2	0.142915	0.132337	0.198759	0.149233	Данное
2	0.207814	0.132337	0.299931	0.149233	руководство
2	0.309002	0.132337	0.419653	0.149233	предназначено
2	0.428724	0.132337	0.454622	0.149233	для
2	0.463798	0.132337	0.583214	0.149233	предоставления
2	0.592390	0.132337	0.678801	0.149233	операторам
2	0.687931	0.132337	0.782466	0.149233	правильного
2	0.791537	0.132337	0.801027	0.149233	и
2	0.810081	0.132337	0.901589	0.149233	безопасного
2	0.142915	0.146586	0.203191	0.163481	способа
2	0.209829	0.146586	0.296394	0.163481	управления
2	0.303353	0.146586	0.312843	0.163481	и
2	0.319477	0.146586	0.427011	0.163481	обслуживания
2	0.433969	0.146586	0.517622	0.163481	карьерного
2	0.524289	0.146586	0.601297	0.163481	самосвала
